Код_товара	Название_позиции	Ключевые_слова	Описание	Тип_товара	Цена	Валюта	Единица_измерения	Минимальный_объем_заказа	Оптовая_цена	Минимальный_заказ_опт	Ссылка_изображения	Наличие	Скидка	Производитель	Страна_производитель	Номер_группы	Адрес_подраздела	Идентификатор_товара	Уникальный_идентификатор	Идентификатор_подраздела	Идентификатор_группы
11.003	Ремень 1213 H8 MAEL "hutchinson"		Ремень 1213 H8 MAEL "hutchinson"	u	190	UAH	шт.	1	137	2		+						11.003			
11.052	Ремень 1215 H8 EL «Hutchinson» черный		Ремень 1215 H8 EL «Hutchinson» черный	u	230	UAH	шт.	1	165	2		+						11.052			
11.065	Ремень 1220 H6 «Hutchinson» черный		Ремень 1220 H6 «Hutchinson» черный	u	162	UAH	шт.	1	118	2		+						11.065			
11.028	Ремень 1220 H7 «Optibelt» черный		Ремень 1220 H7 «Optibelt» черный	u	250	UAH	шт.	1	199	2		-						11.028			
11.039	Ремень 1220 J5 EL «Megadyne» желтый		Ремень 1220 J5 EL «Megadyne» желтый	u	178	UAH	шт.	1	109	2		+						11.039			
11.006	Ремень 1220 J5 EL «Optibelt» черный		Ремень 1220 J5 EL «Optibelt» черный	u	185	UAH	шт.	1	153	2		-						11.006			
11.004	Ремень 1226 J6 EL «Hutchinson» черный		Ремень 1226 J6 EL «Hutchinson» черный	u	195	UAH	шт.	1	152	2		-						11.004			
11.043	Ремень 1227 H7 EL «Hutchinson» черный		Ремень 1227 H7 EL «Hutchinson» черный	u	182	UAH	шт.	1	150	2		-						11.043			
11.050	Ремень 1233 H8 EL «Hutchinson» черный		Ремень 1233 H8 EL «Hutchinson» черный	u	190	UAH	шт.	1	144	2		+						11.050			
11.027	Ремень 1233 H8 EL «MEGADYNE» ARDO черный		Ремень 1233 H8 EL «MEGADYNE» ARDO черный	u	170	UAH	шт.	1	132	2		+						11.027			
11.062	Ремень 1236 J4 EL «Hutchinson» черный		Ремень 1236 J4 EL «Hutchinson» черный	u	188	UAH	шт.	1	136	2		+						11.062			
11.058	Ремень 1236 J4 EL «Hutchitson» черный		Ремень 1236 J4 EL «Hutchitson» черный	u	170	UAH	шт.	1	136	2		-						11.058			
11.024	Ремень 1243 J5 EL «Optibelt» черный		Ремень 1243 J5 EL «Optibelt» черный	u	209	UAH	шт.	1	172	2		+						11.024			
11.009	Ремень 1245 J5 EL «Megadyne» желтый		Ремень 1245 J5 EL «Megadyne» желтый	u	170	UAH	шт.	1	115	2		+						11.009			
11.017	Ремень 1250 J4 EL «Hutchitson»		Ремень 1250 J4 EL «Hutchitson»	u	215	UAH	шт.	1	151	2		+						11.017			
11.040	Ремень 1262 J5 EL «Megadyne» черный		Ремень 1262 J5 EL «Megadyne» черный	u	209	UAH	шт.	1	164	2		-						11.040			
11.046	Ремень 1262 J5 EL «Optibelt» черный		Ремень 1262 J5 EL «Optibelt» черный	u	224	UAH	шт.	1	185	2		+						11.046			
11.038	Ремень 1268 H8 EL «Optibelt» черный		Ремень 1268 H8 EL «Optibelt» черный	u	288	UAH	шт.	1	207	2		-						11.038			
11.007	Ремень 1270 J3 «Megadyne» желтый		Ремень 1270 J3 «Megadyne» желтый	u	145	UAH	шт.	1	105	2		+						11.007			
11.005	Ремень 1270 J4 «Megadyne» желтый		Ремень 1270 J4 «Megadyne» желтый	u	165	UAH	шт.	1	105	2		+						11.005			
11.012	Ремень 1270 J5 "Hutchinson" черный		Ремень 1270 J5 "Hutchinson" черный	u	155	UAH	шт.	1	126	2		-						11.012			
11.016	Ремень 1270 J5 «Megadyne» желтый		Ремень 1270 J5 «Megadyne» желтый	u	145	UAH	шт.	1	115	2		+						11.016			
11.021	Ремень 1275 J5 EL «Hutchinson»		Ремень 1275 J5 EL «Hutchinson»	u	215	UAH	шт.	1	151	2		-						11.021			
11.048	Ремень 1276 J4 EL «Hutchinson» черный		Ремень 1276 J4 EL «Hutchinson» черный	u	191	UAH	шт.	1	151	2		+						11.048			
11.053	Ремень 1280 J5 EL «Hutchitson» черный		Ремень 1280 J5 EL «Hutchitson» черный	u	245	UAH	шт.	1	172	2		+						11.053			
11.015	Ремень 1280 J6 EL "Hutchinson"		Ремень 1280 J6 EL "Hutchinson"	u	188	UAH	шт.	1	150	2		+						11.015			
11.057	Ремень 1280 J6 EL «Megadyne» желтый		Ремень 1280 J6 EL «Megadyne» желтый	u	180	UAH	шт.	1	135	2		+						11.057			
11.029	Ремень 1287 H8 EL «Hutchinson» черный		Ремень 1287 H8 EL «Hutchinson» черный	u	176	UAH	шт.	1	125	2		+						11.029			
11.034	Ремень 1287 H8 EL «Megadyne» желтый		Ремень 1287 H8 EL «Megadyne» желтый	u	175	UAH	шт.	1	120	2		+						11.034			
11.044	Ремень 1308 J5 EL «Megadyne» желтый		Ремень 1308 J5 EL «Megadyne» желтый	u	180	UAH	шт.	1	135	2		+						11.044			
11.008	Ремень 1310 J5 EL "Hutchinson" черный		Ремень 1310 J5 EL "Hutchinson" черный	u	175	UAH	шт.	1	139	2		-						11.008			
11.054	Ремень 1316 J4 «Hutchitson» черный		Ремень 1316 J4 «Hutchitson» черный	u	175	UAH	шт.	1	135	2		+						11.054			
11.061	Ремень Ardo 1238 H7 EL «Megadyne» черный		Ремень Ardo 1238 H7 EL «Megadyne» черный	u	190	UAH	шт.	1	133	2		+						11.061			
11.011	Ремень клиновидный 3L493 он же Z-1250 ARDO черный		Ремень клиновидный 3L493 он же Z-1250 ARDO черный	u	130	UAH	шт.	1	95	2		+						11.011			
11.033	Ремень клиновидный «САТУРН» A-675E черный		Ремень клиновидный «САТУРН» A-675E черный	u	95	UAH	шт.	1	60	2		+						11.033			
23.0001	Ручка Bosch Max 266751 не оригинал		Ручка Bosch Max 266751 не оригинал	u	178	UAH	шт.	1	137	2		+						23.0001			
	Ручка двери (люка) Candy 43011740		Ручка двери (люка) Candy 43011740	u	372	UAH	шт.	1	307	2		-									
23.0002	Ручка дверки (люка) Ardo и Whirlpool квадратная		Ручка дверки (люка) Ardo и Whirlpool квадратная	u	91	UAH	шт.	1	75	2		+						23.0002			
23.0003	Ручка дверки (люка) Ariston C00116576		Ручка дверки (люка) Ariston C00116576	u	175	UAH	шт.	1	134	2		-						23.0003			
23.0014	Ручка дверки (люка) Bosch 183607 + Крючок 183608 (Не оригинал		Ручка дверки (люка) Bosch 183607 + Крючок 183608 (Не оригинал	u	352	UAH	шт.	1	290	2		-						23.0014			
23.0013	Ручка дверки (люка) Bosch 751782 (не оригинал)		Ручка дверки (люка) Bosch 751782 (не оригинал)	u	380	UAH	шт.	1	354	2		+						23.0013			
23.0019	Ручка дверки (люка) Bosch Siemens 648581 (не оригинал)		Ручка дверки (люка) Bosch Siemens 648581 (не оригинал)	u	415	UAH	шт.	1	319	2		+						23.0019			
23.0015	Ручка дверки (люка) Bosch Siemens 751783 (не оригинал)		Ручка дверки (люка) Bosch Siemens 751783 (не оригинал)	u	457	UAH	шт.	1	377	2		+						23.0015			
23.0004	Ручка дверки (люка) Gorenje 333855		Ручка дверки (люка) Gorenje 333855	u	184	UAH	шт.	1	142	2		+						23.0004			
23.0005	Ручка дверки (люка) Indesit EWO 2 Original		Ручка дверки (люка) Indesit EWO 2 Original	u	125	UAH	шт.	1	84	2		+						23.0005			
23.0006	Ручка дверки (люка) Indesit EWO 2 не оригинал		Ручка дверки (люка) Indesit EWO 2 не оригинал	u	85	UAH	шт.	1	60	2		+						23.0006			
23.0007	Ручка дверки (люка) LG		Ручка дверки (люка) LG	u	70	UAH	шт.	1	45	2		+						23.0007			
23.0016	Ручка дверки (люка) Samsung		Ручка дверки (люка) Samsung	u	383	UAH	шт.	1	315	2		+						23.0016			
23.0008	Ручка дверки (люка) Samsung DC64-00561A		Ручка дверки (люка) Samsung DC64-00561A	u	72	UAH	шт.	1	72	2		-						23.0008			
	Ручка дверки (люка) Samsung DC64-00646A		Ручка дверки (люка) Samsung DC64-00646A	u	190	UAH	шт.	1	185	2		-									
23.0009	Ручка дверки (люка) Samsung серебристая		Ручка дверки (люка) Samsung серебристая	u	221	UAH	шт.	1	169	2		-						23.0009			
23.0017	Ручка дверки (люка) Атлант 775333100100		Ручка дверки (люка) Атлант 775333100100	u	58	UAH	шт.	1	52	2		+						23.0017			
23.0018	Ручка дверки (люка) совместимая с Ardo 719007200		Ручка дверки (люка) совместимая с Ardo 719007200	u	180	UAH	шт.	1	126	2		+						23.0018			
23.0010	Ручка переключения программ Whirlpool 481241458306		Ручка переключения программ Whirlpool 481241458306	u	201	UAH	шт.	1	165	2		+						23.0010			
10.0078	Сальник 21*40*10 SKL		Сальник 21*40*10 SKL	u	50	UAH	шт.	1	40	2		+						10.0078			
10.0001	Сальник 21*40*7		Сальник 21*40*7	u	52	UAH	шт.	1	42	2		-						10.0001			
10.0079	Сальник 21*40*7 SKL		Сальник 21*40*7 SKL	u	45	UAH	шт.	1	21	2		+						10.0079			
10.0002	Сальник 22*40*10/11,5 WLK		Сальник 22*40*10/11,5 WLK	u	60	UAH	шт.	1	45	2		+						10.0002			
10.0054	Сальник 22*40*10/11,5 Итали		Сальник 22*40*10/11,5 Итали	u	54	UAH	шт.	1	45	2		-						10.0054			
10.0084	Сальник 22*40*10 SKL		Сальник 22*40*10 SKL	u	32	UAH	шт.	1	19	2		+						10.0084			
10.0081	Сальник 22*40*8/11,5 GP Corteco		Сальник 22*40*8/11,5 GP Corteco	u	55	UAH	шт.	1	42	2		+						10.0081			
10.0004	Сальник 22*40*8/11,5 SKL		Сальник 22*40*8/11,5 SKL	u	42	UAH	шт.	1	35	2		+						10.0004			
10.0003	Сальник 22*40*8/11,5 WLK		Сальник 22*40*8/11,5 WLK	u	55	UAH	шт.	1	42	2		+						10.0003			
10.0005	Сальник 25*47*10/12 SKL		Сальник 25*47*10/12 SKL	u	59	UAH	шт.	1	22	2		-						10.0005			
10.0098	Сальник 25*47*10 SKL Двухбортовый		Сальник 25*47*10 SKL Двухбортовый	u	42	UAH	шт.	1	28	2		+						10.0098			
10.0006	Сальник 25*47*10 Двухбортовой WLK		Сальник 25*47*10 Двухбортовой WLK	u	55	UAH	шт.	1	44	2		+						10.0006			
10.0008	Сальник 25*47/64*7/10,5 KOK		Сальник 25*47/64*7/10,5 KOK	u	70	UAH	шт.	1	45	2		-						10.0008			
10.0064	Сальник 25*47/64*7/10,5 Original		Сальник 25*47/64*7/10,5 Original	u	115	UAH	шт.	1	81	2		+						10.0064			
10.0085	Сальник 25*47/64*7/10,5 SKL		Сальник 25*47/64*7/10,5 SKL	u	55	UAH	шт.	1	35	2		-						10.0085			
10.0007	Сальник 25*47/64*7/10,5 WLK		Сальник 25*47/64*7/10,5 WLK	u	73	UAH	шт.	1	58	2		+						10.0007			
10.0097	Сальник 25*47/64*7/10 Италия		Сальник 25*47/64*7/10 Италия	u	84	UAH	шт.	1	56	2		+						10.0097			
10.0009	Сальник 25*47*8/11,5		Сальник 25*47*8/11,5	u	58	UAH	шт.	1	45	2		+						10.0009			
10.0010	Сальник 25*47*8/11,5 (Италия)		Сальник 25*47*8/11,5 (Италия)	u	64	UAH	шт.	1	41	2		+						10.0010			
10.0080	Сальник 25*50*10 SKL		Сальник 25*50*10 SKL	u	42	UAH	шт.	1	28	2		+						10.0080			
10.0011	Сальник 25*50*10 WLK		Сальник 25*50*10 WLK	u	58	UAH	шт.	1	41	2		+						10.0011			
10.0012	Сальник 25*50,5*10/12 Samsung		Сальник 25*50,5*10/12 Samsung	u	56	UAH	шт.	1	45	2		-						10.0012			
10.0013	Сальник 25*50,5*10 Samsung		Сальник 25*50,5*10 Samsung	u	55	UAH	шт.	1	43	2		-						10.0013			
10.0014	Сальник 25*50,55*10/12 SKL		Сальник 25*50,55*10/12 SKL	u	71	UAH	шт.	1	40	2		+						10.0014			
10.0049	Сальник 25*50,55*10/12 WLK (Samsung)		Сальник 25*50,55*10/12 WLK (Samsung)	u	88	UAH	шт.	1	60	2		+						10.0049			
10.0015	Сальник 25*50,55*10 WLK		Сальник 25*50,55*10 WLK	u	72	UAH	шт.	1	47	2		+						10.0015			
10.0092	Сальник 25*50*9/11 WLK		Сальник 25*50*9/11 WLK	u	76	UAH	шт.	1	62	2		+						10.0092			
10.0016	Сальник 25*52*10 SKL		Сальник 25*52*10 SKL	u	58	UAH	шт.	1	31	2		+						10.0016			
10.0017	Сальник 25*52*8/11.5 WLK		Сальник 25*52*8/11.5 WLK	u	65	UAH	шт.	1	58	2		+						10.0017			
10.0018	Сальник 25*53,5*10/14 Италия		Сальник 25*53,5*10/14 Италия	u	99	UAH	шт.	1	83	2		+						10.0018			
10.0066	Сальник 28*62*10/12 Bosch SKL		Сальник 28*62*10/12 Bosch SKL	u	62	UAH	шт.	1	44	2		+						10.0066			
10.0019	Сальник 28*62*10/12 Bosch WLK		Сальник 28*62*10/12 Bosch WLK	u	80	UAH	шт.	1	65	2		+						10.0019			
10.0020	Сальник 30*45*8 KOK		Сальник 30*45*8 KOK	u	42	UAH	шт.	1	22	2		+						10.0020			
10.0021	Сальник 30*46,8*8,7/13 с колечком		Сальник 30*46,8*8,7/13 с колечком	u	91	UAH	шт.	1	81	2		-						10.0021			
10.0024	Сальник 30*52*10/12 SKL		Сальник 30*52*10/12 SKL	u	45	UAH	шт.	1	28	2		+						10.0024			
10.0023	Сальник 30*52*10/12 WLK		Сальник 30*52*10/12 WLK	u	61	UAH	шт.	1	44	2		+						10.0023			
10.0025	Сальник 30*52*10/12 Италия		Сальник 30*52*10/12 Италия	u	95	UAH	шт.	1	67	2		+						10.0025			
10.0022	Сальник 30*52*10 WLK		Сальник 30*52*10 WLK	u	75	UAH	шт.	1	50	2		+						10.0022			
10.0099	Сальник 30*52/62*9,5/16 SKL		Сальник 30*52/62*9,5/16 SKL	u	76	UAH	шт.	1	55	2		+						10.0099			
10.0026	Сальник 30*52/65*7/10 Original		Сальник 30*52/65*7/10 Original	u	95	UAH	шт.	1	76	2		+						10.0026			
10.0057	Сальник 30*52/65*7/10 SKL		Сальник 30*52/65*7/10 SKL	u	58	UAH	шт.	1	35	2		+						10.0057			
10.0027	Сальник 30*52/65*7/10 WLK		Сальник 30*52/65*7/10 WLK	u	82	UAH	шт.	1	68	2		-						10.0027			
10.0058	Сальник 30*52/66*12/16.5		Сальник 30*52/66*12/16.5	u	85	UAH	шт.	1	48	2		+						10.0058			
10.0029	Сальник 30*52*8,5/10,5 SKL		Сальник 30*52*8,5/10,5 SKL	u	68	UAH	шт.	1	56	2		+						10.0029			
10.0030	Сальник 30*52*8,5/10,5 WLK		Сальник 30*52*8,5/10,5 WLK	u	85	UAH	шт.	1	58	2		+						10.0030			
10.0031	Сальник 30*52*8,5/10,5 Италия ROLF		Сальник 30*52*8,5/10,5 Италия ROLF	u	88	UAH	шт.	1	58	2		+						10.0031			
10.0028	Сальник 30*53,5*10/14,5 Inco		Сальник 30*53,5*10/14,5 Inco	u	85	UAH	шт.	1	64	2		-						10.0028			
10.0090	Сальник 30*53,5*10/14 SKL		Сальник 30*53,5*10/14 SKL	u	42	UAH	шт.	1	28	2		+						10.0090			
10.0093	Сальник 30*53,5*9/14,5 SKL		Сальник 30*53,5*9/14,5 SKL	u	55	UAH	шт.	1	38	2		+						10.0093			
10.0089	Сальник 30*55*10 SKL		Сальник 30*55*10 SKL	u	35	UAH	шт.	1	26	2		+						10.0089			
10.0091	Сальник 30*55/68*8/11 SKL		Сальник 30*55/68*8/11 SKL	u	45	UAH	шт.	1	35	2		+						10.0091			
10.0056	Сальник 30*60,55*10/12 SKL (Samsung)		Сальник 30*60,55*10/12 SKL (Samsung)	u	88	UAH	шт.	1	73	2		+						10.0056			
10.0051	Сальник 30*60,55*10/12 WLK		Сальник 30*60,55*10/12 WLK	u	115	UAH	шт.	1	83	2		+						10.0051			
10.0055	Сальник 32*52*10/12 SKL		Сальник 32*52*10/12 SKL	u	66	UAH	шт.	1	45	2		+						10.0055			
10.0087	Сальник 32*52*10/12 Италия		Сальник 32*52*10/12 Италия	u	130	UAH	шт.	1	108	2		+						10.0087			
	Сальник 32*52*7		Сальник 32*52*7	u	43	UAH	шт.	1	35	2		-									
10.0033	Сальник 34*52/65*7/10,5		Сальник 34*52/65*7/10,5	u	85	UAH	шт.	1	66	2		+						10.0033			
10.0034	Сальник 35*52/65*7/10		Сальник 35*52/65*7/10	u	55	UAH	шт.	1	30	2		+						10.0034			
10.0035	Сальник 35*52/65*7/10 Original		Сальник 35*52/65*7/10 Original	u	125	UAH	шт.	1	88	2		+						10.0035			
10.0062	Сальник 35*62*10 SKL		Сальник 35*62*10 SKL	u	68	UAH	шт.	1	42	2		+						10.0062			
10.0036	Сальник 35*62*10 WLK		Сальник 35*62*10 WLK	u	77	UAH	шт.	1	55	2		+						10.0036			
10.0037	Сальник 35*62*10 Италия		Сальник 35*62*10 Италия	u	86	UAH	шт.	1	69	2		+						10.0037			
10.0063	Сальник 35*62*11/12,5		Сальник 35*62*11/12,5	u	82	UAH	шт.	1	53	2		+						10.0063			
10.0071	Сальник 35*62/75*7/10 Indesit Original		Сальник 35*62/75*7/10 Indesit Original	u	116	UAH	шт.	1	95	2		+						10.0071			
10.0038	Сальник 35*62/75*7/10 SKL		Сальник 35*62/75*7/10 SKL	u	72	UAH	шт.	1	62	2		+						10.0038			
10.0075	Сальник 35*65*10 SKL		Сальник 35*65*10 SKL	u	58	UAH	шт.	1	42	2		+						10.0075			
10.0039	Сальник 35*65*10 WLK		Сальник 35*65*10 WLK	u	72	UAH	шт.	1	62	2		+						10.0039			
10.0076	Сальник 35*65*11/13,5 WFK		Сальник 35*65*11/13,5 WFK	u	46	UAH	шт.	1	34	2		+						10.0076			
10.0040	Сальник 35*65,55*10/12 SKL		Сальник 35*65,55*10/12 SKL	u	72	UAH	шт.	1	42	2		+						10.0040			
10.0067	Сальник 35*72*10/12 SKL		Сальник 35*72*10/12 SKL	u	62	UAH	шт.	1	47	2		+						10.0067			
10.0041	Сальник 35*72*10/12 WLK		Сальник 35*72*10/12 WLK	u	137	UAH	шт.	1	102	2		+						10.0041			
10.0042	Сальник 35*72/84*11/18 SKL		Сальник 35*72/84*11/18 SKL	u	75	UAH	шт.	1	52	2		+						10.0042			
10.0043	Сальник 35*75,55*10/12 Samsung (не оригинал) SKL		Сальник 35*75,55*10/12 Samsung (не оригинал) SKL	u	71	UAH	шт.	1	45	2		+						10.0043			
10.0061	Сальник 35*76*10/14 Miele WLK		Сальник 35*76*10/14 Miele WLK	u	85	UAH	шт.	1	64	2		+						10.0061			
10.0094	Сальник 37,4*62*10/12 SKL		Сальник 37,4*62*10/12 SKL	u	110	UAH	шт.	1	94	2		+						10.0094			
10.0052	Сальник 37*62*10 Италия		Сальник 37*62*10 Италия	u	72	UAH	шт.	1	62	2		+						10.0052			
10.0069	Сальник 37*66*9,5/12 Passoroti (Италия)		Сальник 37*66*9,5/12 Passoroti (Италия)	u	70	UAH	шт.	1	58	2		+						10.0069			
10.0053	Сальник 37*66*9,5/12 SKL		Сальник 37*66*9,5/12 SKL	u	72	UAH	шт.	1	45	2		+						10.0053			
10.0044	Сальник 37*66*9,5/12 WLK		Сальник 37*66*9,5/12 WLK	u	78	UAH	шт.	1	58	2		+						10.0044			
10.0070	Сальник 37*72,1*9/15,5 SKL		Сальник 37*72,1*9/15,5 SKL	u	123	UAH	шт.	1	101	2		+						10.0070			
10.0060	Сальник 37*76*9,5/12 SKL		Сальник 37*76*9,5/12 SKL	u	85	UAH	шт.	1	70	2		+						10.0060			
10.0059	Сальник 37*76*9,5/12 WLK		Сальник 37*76*9,5/12 WLK	u	105	UAH	шт.	1	87	2		+						10.0059			
10.0082	Сальник 40,2*60/105*8/15,5 SKL		Сальник 40,2*60/105*8/15,5 SKL	u	105	UAH	шт.	1	82	2		+						10.0082			
10.0072	Сальник 40,2*72*10/13,5 Италия		Сальник 40,2*72*10/13,5 Италия	u	110	UAH	шт.	1	77	2		+						10.0072			
10.0074	Сальник 40,2*72/80*8/13 SKL		Сальник 40,2*72/80*8/13 SKL	u	80	UAH	шт.	1	48	2		+						10.0074			
10.0073	Сальник 40,2*72/80*8/13 WLK		Сальник 40,2*72/80*8/13 WLK	u	110	UAH	шт.	1	87	2		+						10.0073			
10.0065	Сальник 40*55*10 SKL		Сальник 40*55*10 SKL	u	70	UAH	шт.	1	48	2		+						10.0065			
10.0045	Сальник 40*60*10 SKL		Сальник 40*60*10 SKL	u	55	UAH	шт.	1	42	2		+						10.0045			
10.0088	Сальник 40*60*10 WLK		Сальник 40*60*10 WLK	u	75	UAH	шт.	1	60	2		+						10.0088			
10.0095	Сальник 40*65*10 SKL		Сальник 40*65*10 SKL	u	48	UAH	шт.	1	35	2		+						10.0095			
10.0050	Сальник 40*66*10/11,5 WLK		Сальник 40*66*10/11,5 WLK	u	95	UAH	шт.	1	68	2		+						10.0050			
10.0096	Сальник 40*70/80*10,5/15		Сальник 40*70/80*10,5/15	u	110	UAH	шт.	1	84	2		+						10.0096			
10.0086	Сальник 40*72/88*8/14,8 SKL		Сальник 40*72/88*8/14,8 SKL	u	75	UAH	шт.	1	55	2		+						10.0086			
10.0077	Сальник 45,5*84*10/12		Сальник 45,5*84*10/12	u	115	UAH	шт.	1	87	2		+						10.0077			
10.0083	Сальник 45,5*84*10/12 Samsung Original		Сальник 45,5*84*10/12 Samsung Original	u	189	UAH	шт.	1	155	2		+						10.0083			
10.0046	Сальник 47*80*10/12		Сальник 47*80*10/12	u	102	UAH	шт.	1	80	2		+						10.0046			
10.0047	Сальник прижимной V-RING VA-22		Сальник прижимной V-RING VA-22	u	28	UAH	шт.	1	16	2		+						10.0047			
10.0068	Сальник прижимной V-RING VA-25		Сальник прижимной V-RING VA-25	u	18	UAH	шт.	1	15	2		+						10.0068			
10.0048	Сальник прижимной V-RING VA-28		Сальник прижимной V-RING VA-28	u	22	UAH	шт.	1	15	2		+						10.0048			
29.004	Свод ТВН Средство для удаления накипи		Свод ТВН Средство для удаления накипи	u	49	UAH	шт.	1	28	2		-						29.004			
13.004	Селектор программ CTS 080S0758		Селектор программ CTS 080S0758	u	340	UAH	шт.	1	280	2		+						13.004			
2.3.0003	Сенсор температуры Samsung DA32-10105Q		Сенсор температуры Samsung DA32-10105Q	u	122	UAH	шт.	1	77	2		+						2.3.0003			
18.0014	Сетевой фильтр Indesit Ariston C00064559 для стиральной машины		Сетевой фильтр Indesit Ariston C00064559 для стиральной машины	u	119	UAH	шт.	1	98	2		+						18.0014			
18.0015	Сетевой фильтр Indesit Ariston C00065987		Сетевой фильтр Indesit Ariston C00065987	u	92	UAH	шт.	1	70	2		-						18.0015			
2.1.0002	Силиконовый герметик belife Прозрачный 310ml		Силиконовый герметик belife Прозрачный 310ml	u	75	UAH	шт.	1	55	2		+						2.1.0002			
21.0003	Сливной патрубок от нижнего поддона к тэну C00257324 Indesit		Сливной патрубок от нижнего поддона к тэну C00257324 Indesit	u	330	UAH	шт.	1	272	2		-						21.0003			
5.2.001	Слюда листовая 12,5см*15см		Слюда листовая 12,5см*15см	u	90	UAH	шт.	1	64	2		+						5.2.001			
5.2.002	Слюда листовая 40см*50см		Слюда листовая 40см*50см	u	180	UAH	шт.	1	140	2		-						5.2.002			
24.0001	Смазка для сальников 100 гр. ANDEROL (Indesit)		Смазка для сальников 100 гр. ANDEROL (Indesit)	u	274	UAH	шт.	1	225	2		+						24.0001			
24.0002	Смазка для сальников 2 порции. ANDEROL (Indesit)		Смазка для сальников 2 порции. ANDEROL (Indesit)	u	28	UAH	шт.	1	28	2		+						24.0002			
24.0003	Смазка для сальников стиральных машин		Смазка для сальников стиральных машин	u	105	UAH	шт.	1	87	2		+						24.0003			
24.0004	Смазка для сальников стиральных машин 2 порции		Смазка для сальников стиральных машин 2 порции	u	21	UAH	шт.	1	21	2		-						24.0004			
25.0001	Статор мотора с прямым приводом LG 4417EA1002W		Статор мотора с прямым приводом LG 4417EA1002W	u	1380	UAH	шт.	1	1260	2		-						25.0001			
26.0003	Суппорт Whirlpool 203 подшипник		Суппорт Whirlpool 203 подшипник	u	301	UAH	шт.	1	248	2		+						26.0003			
26.0001	Суппорта (фланцы) Whirlpool, комплект. для стиральной машины		Суппорта (фланцы) Whirlpool, комплект. для стиральной машины	u	452	UAH	шт.	1	372	2		+						26.0001			
26.0004	Суппорт барабана Ardo AR 037670		Суппорт барабана Ardo AR 037670	u	410	UAH	шт.	1	313	2		+						26.0004			
26.0005	Суппорт барабана Ardo под 204		Суппорт барабана Ardo под 204	u	340	UAH	шт.	1	260	2		-						26.0005			
26.0018	Суппорт для кнопок лицевой панели Gorenje 587486		Суппорт для кнопок лицевой панели Gorenje 587486	u	180	UAH	шт.	1	127	2		+						26.0018			
26.0017	Суппорт кнопок Gorenje 587487		Суппорт кнопок Gorenje 587487	u	190	UAH	шт.	1	157	2		-						26.0017			
	Суппорт подшипника Whirlpool Bauknecht 481231018483		Суппорт подшипника Whirlpool Bauknecht 481231018483	u	602	UAH	шт.	1	496	2		-									
26.0013	Суппорт подшипников Electrolux 203 левая резьба		Суппорт подшипников Electrolux 203 левая резьба	u	430	UAH	шт.	1	361	2		+						26.0013			
26.0006	Суппорт подшипников Electrolux 203 левая резьба Польша		Суппорт подшипников Electrolux 203 левая резьба Польша	u	350	UAH	шт.	1	286	2		+						26.0006			
26.0014	Суппорт подшипников Electrolux 203 правая резьба		Суппорт подшипников Electrolux 203 правая резьба	u	445	UAH	шт.	1	367	2		+						26.0014			
26.0007	Суппорт подшипников Electrolux 203 правая резьба Польша		Суппорт подшипников Electrolux 203 правая резьба Польша	u	367	UAH	шт.	1	302	2		+						26.0007			
26.0015	Суппорт подшипников Electrolux 204 левая резьба		Суппорт подшипников Electrolux 204 левая резьба	u	418	UAH	шт.	1	344	2		+						26.0015			
26.0008	суппорт подшипников Electrolux 204 левая резьба Польша		суппорт подшипников Electrolux 204 левая резьба Польша	u	280	UAH	шт.	1	266	2		+						26.0008			
26.0009	Суппорт подшипников Electrolux 204 правая резьба		Суппорт подшипников Electrolux 204 правая резьба	u	418	UAH	шт.	1	344	2		+						26.0009			
26.0010	Суппорт подшипников Elektrolux 204 правая резьба Польша		Суппорт подшипников Elektrolux 204 правая резьба Польша	u	280	UAH	шт.	1	266	2		+						26.0010			
26.0011	Суппорт подшипников Indesit Ariston с вырезами Original		Суппорт подшипников Indesit Ariston с вырезами Original	u	311	UAH	шт.	1	256	2		+						26.0011			
26.0012	Суппорт подшипников с вырезами Indesit C0087966(SKL)		Суппорт подшипников с вырезами Indesit C0087966(SKL)	u	291	UAH	шт.	1	239	2		-						26.0012			
26.0016	Суппорт с подшипниками Indesit (высокий)		Суппорт с подшипниками Indesit (высокий)	u	512	UAH	шт.	1	489	2		-						26.0016			
26.0002	Суппорт (фланец) Bosch, Gorenje (франция) левый		Суппорт (фланец) Bosch, Gorenje (франция) левый	u	476	UAH	шт.	1	364	2		+						26.0002			
2.4.001	Таймер оттайки StinoL универсальный (6часов/25мин)		Таймер оттайки StinoL универсальный (6часов/25мин)	u	265	UAH	шт.	1	220	2		+						2.4.001			
5.035	Термистор (датчик температуры) Indesit Ariston C00083915		Термистор (датчик температуры) Indesit Ariston C00083915	u	120	UAH	шт.	1	120	2		-						5.035			
6.0015	Термоактуатор Beko 1831470000		Термоактуатор Beko 1831470000	u	122	UAH	шт.	1	94	2		-						6.0015			
3.3.001	Термозащита бойлера Electrolux не оригинал		Термозащита бойлера Electrolux не оригинал	u	185	UAH	шт.	1	155	2		+						3.3.001			
3.3.002	Термозащита бойлера с Gorenje		Термозащита бойлера с Gorenje	u	180	UAH	шт.	1	137	2		+						3.3.002			
