Код_товара	Название_позиции	Ключевые_слова	Описание	Тип_товара	Цена	Валюта	Единица_измерения	Минимальный_объем_заказа	Оптовая_цена	Минимальный_заказ_опт	Ссылка_изображения	Наличие	Скидка	Производитель	Страна_производитель	Номер_группы	Адрес_подраздела	Идентификатор_товара	Уникальный_идентификатор	Идентификатор_подраздела	Идентификатор_группы
16.0001	Катушка тахогенератора Beko		Катушка тахогенератора Beko	u	215	UAH	шт.	1	155	2		+						16.0001			
7.001	Катушка универсального клапана 220V клемы раздельно		Катушка универсального клапана 220V клемы раздельно	u	42	UAH	шт.	1	36	2		+						7.001			
3.4.002	Клапан бойлера 1/2 без ручки		Клапан бойлера 1/2 без ручки	u	60	UAH	шт.	1	49	2		+						3.4.002			
3.4.001	Клапан бойлера 1/2 с ручкой		Клапан бойлера 1/2 с ручкой	u	80	UAH	шт.	1	66	2		+						3.4.001			
7.002	клапан впускной 1/180 универсальный		клапан впускной 1/180 универсальный	u	126	UAH	шт.	1	90	2		+						7.002			
7.003	Клапан впускной 1/90 универсальный		Клапан впускной 1/90 универсальный	u	115	UAH	шт.	1	95	2		+						7.003			
7.010	Клапан впускной 2/180 со спаренной фишкой		Клапан впускной 2/180 со спаренной фишкой	u	241	UAH	шт.	1	199	2		+						7.010			
7.014	Клапан впускной 2/180 с тонкими выходами Bosch 428210		Клапан впускной 2/180 с тонкими выходами Bosch 428210	u	345	UAH	шт.	1	282	2		+						7.014			
7.004	Клапан впускной 2/180 Универсальный		Клапан впускной 2/180 Универсальный	u	215	UAH	шт.	1	155	2		+						7.004			
7.005	Клапан впускной 2/180 универсальный с пластиковым креплением		Клапан впускной 2/180 универсальный с пластиковым креплением	u	220	UAH	шт.	1	175	2		+						7.005			
7.006	Клапан впускной 2/90 Ariston Indesit		Клапан впускной 2/90 Ariston Indesit	u	408	UAH	шт.	1	316	2		+						7.006			
7.007	Клапан впускной 2/90 Indesit Ariston под клемы		Клапан впускной 2/90 Indesit Ariston под клемы	u	235	UAH	шт.	1	202	2		+						7.007			
7.008	Клапан впускной 2/90 Indesit Ariston под фишки C00110333 Original		Клапан впускной 2/90 Indesit Ariston под фишки C00110333 Original	u	249	UAH	шт.	1	205	2		+						7.008			
7.011	Клапан впускной 2/90 Indesit Ariston под фишку		Клапан впускной 2/90 Indesit Ariston под фишку	u	201	UAH	шт.	1	165	2		+						7.011			
7.013	Клапан впускной 2/90 универсальный		Клапан впускной 2/90 универсальный	u	215	UAH	шт.	1	162	2		+						7.013			
7.012	Клапан впускной Whirlpool 480111100199		Клапан впускной Whirlpool 480111100199	u	366	UAH	шт.	1	301	2		+						7.012			
7.009	КЛАПАН ВПУСКНОЙ ВОДЫ BOSCH 174261 ДЛЯ СТИРАЛЬНОЙ МАШИНЫ		КЛАПАН ВПУСКНОЙ ВОДЫ BOSCH 174261 ДЛЯ СТИРАЛЬНОЙ МАШИНЫ	u	345	UAH	шт.	1	345	2		-						7.009			
2.6.001	Клапан Шредера(1/4,6 см)		Клапан Шредера(1/4,6 см)	u	24	UAH	шт.	1	17	2		+						2.6.001			
0001	Клема FDD1.25-250		Клема FDD1.25-250	u	1	UAH	шт.	1	1	2		+						0001			
17.002	Кнопка (клавиша) Start Whirlpool 481071425341		Кнопка (клавиша) Start Whirlpool 481071425341	u	155	UAH	шт.	1	116	2		+						17.002			
17.0001	Кнопка сетевая BEKO 2827990100		Кнопка сетевая BEKO 2827990100	u	0	UAH	шт.	1	0	2		-						17.0001			
2.11.01	Комплект ручек для двери морозильной и холодильной камеры Snaige2		Комплект ручек для двери морозильной и холодильной камеры Snaige2	u	285	UAH	шт.	1	206	2		+						2.11.01			
18.0010	Конденсатор 10 Mf 450V		Конденсатор 10 Mf 450V	u	55	UAH	шт.	1	44	2		+						18.0010			
18.0001	Конденсатор 12,5 Mf 450V		Конденсатор 12,5 Mf 450V	u	75	UAH	шт.	1	55	2		+						18.0001			
18.0002	Конденсатор 14 Mf 450V		Конденсатор 14 Mf 450V	u	64	UAH	шт.	1	49	2		+						18.0002			
18.0007	Конденсатор 16 Mf 450V		Конденсатор 16 Mf 450V	u	70	UAH	шт.	1	53	2		+						18.0007			
18.0004	Конденсатор 18 Mf 450V		Конденсатор 18 Mf 450V	u	85	UAH	шт.	1	58	2		+						18.0004			
18.0008	Конденсатор 22 Mf 450V		Конденсатор 22 Mf 450V	u	90	UAH	шт.	1	80	2		+						18.0008			
18.0009	Конденсатор 25 Mf 450V		Конденсатор 25 Mf 450V	u	105	UAH	шт.	1	84	2		+						18.0009			
18.0005	Конденсатор 4 Mf 450V		Конденсатор 4 Mf 450V	u	41	UAH	шт.	1	34	2		+						18.0005			
18.0006	Конденсатор 5 Mf 450V		Конденсатор 5 Mf 450V	u	55	UAH	шт.	1	38	2		-						18.0006			
18.0011	Конденсатор 6 Mf 450V		Конденсатор 6 Mf 450V	u	52	UAH	шт.	1	40	2		+						18.0011			
