Код_товара;Название_позиции;Ключевые_слова;Описание;Тип_товара;Цена;Валюта;Единица_измерения;Минимальный_объем_заказа;Оптовая_цена;Минимальный_заказ_опт;Ссылка_изображения;Наличие;Скидка;Производитель;Страна_производитель;Номер_группы;Адрес_подраздела;Идентификатор_товара;Уникальный_идентификатор;Идентификатор_подраздела
13.004;Процессор MC9S08AW60 на СМА ZANUSSI ELECTROLUX (EWM1100, EWM2100 и др) чистый;;Процессор MC9S08AW60 на СМА ZANUSSI ELECTROLUX (EWM1100, EWM2100 и др) чистый;u;250;UAH;шт.;1;250;2;;+;;;;;;;;
13.005;Процессор MC9S08AС60 на СМА ZANUSSI ELECTROLUX чистый;;Процессор MC9S08AС60 на СМА ZANUSSI ELECTROLUX чистый;u;250;UAH;шт.;1;250;2;;+;;;;;;;;
22.0002;Пружина бака Samsung DC61-00441A;;Пружина бака Samsung DC61-00441A;u;72;UAH;шт.;1;72;2;;+;;;;;;1.86.0005;;
4.0008;Ребро(Активатор) в барабан Indesit Ariston C00097565 original;;Ребро(Активатор) в барабан Indesit Ariston C00097565 original;u;153;UAH;шт.;1;153;2;;+;;;;;;1.68.0018;;
12.001;Резина (манжета) люка Bosch Simense 354135 не оригинал;;Резина (манжета) люка Bosch Simense 354135 не оригинал;u;372;UAH;шт.;1;372;2;;+;;;;;;1.10.0146;;
12.002;Резина (манжет) люка 4986ER1004A LG с прямым приводом (не оригинал);;Резина (манжет) люка 4986ER1004A LG с прямым приводом (не оригинал);u;490;UAH;шт.;1;490;2;;+;;;;;;1.10.0192;;
12.004;Резина (манжет) люка Ardo 651008698 не оригинал;;Резина (манжет) люка Ardo 651008698 не оригинал;u;442;UAH;шт.;1;442;2;;+;;;;;;1.10.0167;;
12.011;Резина (манжет) люка Bosch CLASSIXX 5 MAXX4;;Резина (манжет) люка Bosch CLASSIXX 5 MAXX4;u;428;UAH;шт.;1;428;2;;+;;;;;;1.10.0009;;
12.013;Резина (манжет) люка Indesit Ariston C00094093;;Резина (манжет) люка Indesit Ariston C00094093;u;970;UAH;шт.;1;970;2;;+;;;;;;1.10.0036;;
12.016;Резина (манжет) люка Indesit Ariston C00110330 Original;;Резина (манжет) люка Indesit Ariston C00110330 Original;u;535;UAH;шт.;1;535;2;;+;;;;;;1.10.0006;;
12.018;Резина (манжет) люка Indesit C00118008 (не оригинал);;Резина (манжет) люка Indesit C00118008 (не оригинал);u;417;UAH;шт.;1;417;2;;+;;;;;;1.10.0325;;
12.012;Резина (манжет) люка Indesit WIXL (не оригинал);;Резина (манжет) люка Indesit WIXL (не оригинал);u;488;UAH;шт.;1;488;2;;+;;;;;;1.10.0314;;
12.014;Резина (манжет) люка Атлант 908092000520;;Резина (манжет) люка Атлант 908092000520;u;1074;UAH;шт.;1;1074;2;;+;;;;;;1.10.0148;;
2.2.002;Реле ALE 15B12;;Реле ALE 15B12;u;115;UAH;шт.;1;115;2;;+;;;;;;;;
3.3.004;Реле HF115FK-T;;Реле HF115FK-T;u;85;UAH;шт.;1;85;2;;+;;;;;;;;
2.2.010;Реле Nord ПЗР-03 (0,9А);;Реле Nord ПЗР-03 (0,9А);u;138;UAH;шт.;1;138;2;;+;;;;;;2.44.0070;;
2.2.004;Реле пусковое Danfoss 103N0021;;Реле пусковое Danfoss 103N0021;u;125;UAH;шт.;1;125;2;;+;;;;;;2.44.0012;;
2.2.008;Реле пусковое Атлант РТК-2 (Белоруссия);;Реле пусковое Атлант РТК-2 (Белоруссия);u;148;UAH;шт.;1;148;2;;+;;;;;;2.44.0080;;
2.2.005;Реле пусковое РТК-2;;Реле пусковое РТК-2;u;137;UAH;шт.;1;137;2;;+;;;;;;2.44.0014;;
2.2.006;Реле пусковое РТК-Х(М) (черное);;Реле пусковое РТК-Х(М) (черное);u;165;UAH;шт.;1;165;2;;+;;;;;;2.44.0006;;
11.010;Ремень 1023 H7 EL «Megadyne» черный;;Ремень 1023 H7 EL «Megadyne» черный;u;165;UAH;шт.;1;165;2;;+;;;;;;1.3.0039;;
