Код_товара	Название_позиции	Тип_товара	Цена	Валюта	Единица_измерения	Минимальный_объем_заказа	Оптовая_цена	Минимальный_заказ_опт	Ссылка_изображения	Наличие	Количество	Номер_группы	Название_группы	Адрес_подраздела	Возможность_поставки	Срок_поставки	Способ_упаковки	Уникальный_идентификатор	Идентификатор_товара	Идентификатор_подраздела	Идентификатор_группы	Производитель	Страна_производитель	Скидка	ID_группы_разновидностей	Метки	Продукт_на_сайте	Название_Характеристики	Измерение_Характеристики	Значение_Характеристики	Название_Характеристики	Измерение_Характеристики	Значение_Характеристики	Название_Характеристики	Измерение_Характеристики	Значение_Характеристики	Название_Характеристики	Измерение_Характеристики	Значение_Характеристики
1.012	Амортизатор Bosch квадрат 673541 (не оригинал)	r	130	UAH	шт.				https://images.ua.prom.st/1252149214_w640_h640_img_20180730_114329.jpg, https://images.ua.prom.st/1252149140_w640_h640_img_20180730_114321.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				558939819		64403		Bosh					https://mastermy.kiev.ua/p558939819-amortizator-bosch-kvadrat.html	Вид запчасти		Амортизатор	Состояние		новый						
1.014	Амортизатор Electrolux 1322553015 (не оригинал)	r	95	UAH	шт.				https://images.ua.prom.st/1252151427_w640_h640_img_20180730_114627.jpg, https://images.ua.prom.st/1252151270_w640_h640_img_20180730_114616.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				555905186		64403		Electrolux	Италия				https://mastermy.kiev.ua/p555905186-amortizator-electrolux-1322553015.html	Вид запчасти		Амортизатор	Состояние		новый						
1.008	Амортизатор Indesit 100N	r	95	UAH	шт.				https://images.ua.prom.st/846414822_w640_h640_img_20170709_114956.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				523761950		64403		Indesit					https://mastermy.kiev.ua/p523761950-amortizator-indesit-100n.html	Состояние		Новое	Вид запчасти		Амортизатор						
1.019	Амортизатор Indesit 120N (Производство CIMA - Италия)	r	88	UAH	шт.				https://images.ua.prom.st/988126511_w640_h640_img_20171129_163701.jpg, https://images.ua.prom.st/988126889_w640_h640_img_20171129_163718.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				619881771		64403		Indesit					https://mastermy.kiev.ua/p619881771-amortizator-indesit-120n.html	Вид запчасти		Амортизатор	Состояние		новый						
1.025	Амортизатор Indesit Ariston 120N C00055039 (без упаковки).	r	115	UAH	шт.				https://images.ua.prom.st/1014210833_w640_h640_img_20171223_135407.jpg, https://images.ua.prom.st/1014210650_w640_h640_img_20171223_135350.jpg	-		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				631864387		64403							https://mastermy.kiev.ua/p631864387-amortizator-indesit-ariston.html												
1.026	Амортизатор Indesit Ariston C00140744 Original	r	106	UAH	шт.				https://images.ua.prom.st/1252163388_w640_h640_img_20180730_120412.jpg, https://images.ua.prom.st/1252163350_w640_h640_img_20180730_120402.jpg, https://images.ua.prom.st/1252163243_w640_h640_img_20180730_120351.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				631866436		64403		Indesit	Италия				https://mastermy.kiev.ua/p631866436-amortizator-indesit-ariston.html	Вид запчасти		Амортизатор	Состояние		новый						
1.021	Амортизатор Indesit Ariston Original на гайке, 120N	r	159	UAH	шт.				https://images.ua.prom.st/1043499240_w640_h640_img_20180125_170532.jpg, https://images.ua.prom.st/1043499434_w640_h640_img_20180125_170543.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				624359915		64403		INDESIT					https://mastermy.kiev.ua/p624359915-amortizator-indesit-ariston.html	Вид запчасти		Амортизатор	Состояние		новый						
1.010	Амортизатор Indesit Ariston Zanussi Electrolux пластиковый SUS	r	134	UAH	шт.				https://images.ua.prom.st/1081047744_w640_h640_img_20180227_133723.jpg, https://images.ua.prom.st/1081047960_w640_h640_img_20180227_133733.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				555905413		64403		Electrolux	Италия				https://mastermy.kiev.ua/p555905413-amortizator-indesit-ariston.html	Вид запчасти		Амортизатор	Состояние		новый						
1.030	Амортизатор LG 100N (Производство ANSA - Италия)	r	91	UAH	шт.				https://images.ua.prom.st/1319204293_w640_h640_img_20180918_123453.jpg, https://images.ua.prom.st/1319203927_w640_h640_img_20180918_123442.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				715537860		64403		Ansa	Италия				https://mastermy.kiev.ua/p715537860-amortizator-100n-proizvodstvo.html	Вид запчасти		Амортизатор	Состояние		новый						
1.015	Амортизатор LG 100N Original	r	92	UAH	шт.				https://images.ua.prom.st/943911229_w640_h640_img_20171020_132210.jpg, https://images.ua.prom.st/943910952_w640_h640_img_20171020_132158.jpg, https://images.ua.prom.st/943910607_w640_h640_img_20171020_132134.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				569072722		64403		LG...					https://mastermy.kiev.ua/p569072722-amortizator-100n-original.html	Вид запчасти		Амортизатор	Состояние		новый						
1.003	Амортизатор LG 120N неоригинал	r	104	UAH	шт.				https://images.ua.prom.st/1252468582_w640_h640_img_20180730_173648.jpg, https://images.ua.prom.st/1252468389_w640_h640_img_20180730_173639.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				367278666		64403		LG					https://mastermy.kiev.ua/p367278666-amortizator-120n-neoriginal.html	Состояние		Новое	Вид запчасти		Амортизатор						
1.004	Амортизатор Samsung 100N (не оригинал)	r	102	UAH	шт.				https://images.ua.prom.st/1252146015_w640_h640_img_20180730_113851.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				367312269		64403		SAMSUNG					https://mastermy.kiev.ua/p367312269-amortizator-samsung-100n.html	Состояние		Новое	Вид запчасти		Амортизатор						
1.031	Амортизатор Samsung 60N DC66-00343C	r	92	UAH	шт.				https://images.ua.prom.st/1319191644_w640_h640_img_20180918_122810.jpg, https://images.ua.prom.st/1319191961_w640_h640_img_20180918_122820.jpg, https://images.ua.prom.st/1319190922_w640_h640_img_20180918_122745.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				715543817		64403		SAMSUNG	Корея				https://mastermy.kiev.ua/p715543817-amortizator-samsung-60n.html	Вид запчасти		Амортизатор	Состояние		новый						
1.024	Амортизатор Samsung DC66-00343H	r	262	UAH	шт.				https://images.ua.prom.st/1014215383_w640_h640_img_20171223_140253.jpg, https://images.ua.prom.st/1014215440_w640_h640_img_20171223_140303.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				631855605		64403		Samsung	Корея				https://mastermy.kiev.ua/p631855605-amortizator-samsung-dc66.html	Вид запчасти		Амортизатор	Состояние		новый						
1.005	Амортизатор Samsung короткий 100N DC66-00661A	r	215	UAH	шт.				https://images.ua.prom.st/1252473255_w640_h640_img_20180730_174053.jpg, https://images.ua.prom.st/1252473465_w640_h640_img_20180730_174101.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				367316830		64403		SAMSUNG					https://mastermy.kiev.ua/p367316830-amortizator-samsung-korotkij.html	Состояние		Новое	Вид запчасти		Амортизатор						
1.027	Амортизатор Whirlpool на защелках 481252918043	r	116	UAH	шт.				https://images.ua.prom.st/1319170366_w640_h640_img_20180918_121557.jpg, https://images.ua.prom.st/1319169970_w640_h640_img_20180918_121543.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				650814603		64403							https://mastermy.kiev.ua/p650814603-amortizator-whirlpool-zaschelkah.html												
1.006	Амортизатор Whirpool на защелках,100N	r	95	UAH	шт.				https://images.ua.prom.st/1252475810_w640_h640_img_20180730_174305.jpg, https://images.ua.prom.st/1252476249_w640_h640_img_20180730_174324.jpg, https://images.ua.prom.st/1252475989_w640_h640_img_20180730_174314.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				367323971		64403		Whirpool 					https://mastermy.kiev.ua/p367323971-amortizator-whirpool-zaschelkah100n.html	Состояние		Новое	Вид запчасти		Амортизатор						
1.018	Амортизатор Zanussi 80N 1268832712 (не оригинал)	r	86	UAH	шт.				https://images.ua.prom.st/931895887_w640_h640_image.jpg, https://images.ua.prom.st/931896059_w640_h640_image.jpg, https://images.ua.prom.st/931896214_w640_h640_image.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				594943676		64403		Zanussi					https://mastermy.kiev.ua/p594943676-amortizator-zanussi-80n.html	Вид запчасти		Амортизатор	Состояние		новый						
1.009	Амортизатор металлический, сопротивление 120N	r	97	UAH	шт.				https://images.ua.prom.st/1252481035_w640_h640_img_20180730_174718.jpg, https://images.ua.prom.st/1252480877_w640_h640_img_20180730_174709.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				523762085		64403							https://mastermy.kiev.ua/p523762085-amortizator-metallicheskij-soprotivlenie.html	Вид запчасти		Амортизатор	Состояние		новый						
1.016	Амортизатор металлический, средн. болт M8	r	90	UAH	шт.				https://images.ua.prom.st/943907072_w640_h640_img_20171020_131740.jpg, https://images.ua.prom.st/943907358_w640_h640_img_20171020_131803.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				569208643		64403		Bosch					https://mastermy.kiev.ua/p569208643-amortizator-metallicheskij-sredn.html	Вид запчасти		Амортизатор	Состояние		новый						
1.013	Амортизатор пластиковый 80N	r	102	UAH	шт.				https://images.ua.prom.st/1252454602_w640_h640_img_20180730_172532.jpg	+		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				555908810		64403		Samsung					https://mastermy.kiev.ua/p555908810-amortizator-plastikovyj-80n.html	Вид запчасти		Амортизатор	Состояние		новый						
1.032	Амортизатор совместимый с Indesit Ariston C00140744	r	95	UAH	шт.				https://images.ua.prom.st/1194934883_w640_h640_img_20180606_133516.jpg, https://images.ua.prom.st/1194935227_w640_h640_img_20180606_133538.jpg, https://images.ua.prom.st/1194934986_w640_h640_img_20180606_133525.jpg, https://images.ua.prom.st/1194934721_w640_h640_img_20180606_133507.jpg	-		14538942	Амортизаторы	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				718529012		64403		INDESIT					https://mastermy.kiev.ua/p718529012-amortizator-sovmestimyj-indesit.html	Вид запчасти		Амортизатор	Состояние		новый						
2.10.002	Вентилятор NO FROST 40/45 mm/ D3.2mm, 10W SKL 222FR58	r	220	UAH	шт.				https://images.ua.prom.st/1168151206_w640_h640_img_20180515_142058.jpg, https://images.ua.prom.st/1168152188_w640_h640_img_20180515_142136.jpg, https://images.ua.prom.st/1168151869_w640_h640_img_20180515_142126.jpg, https://images.ua.prom.st/1168151725_w640_h640_img_20180515_142118.jpg	-		32052517	Вентилятор	https://prom.ua/Zapchasti-i-aksessuary-dlya-holodilnikov				703319576		64409		SKL	Китай				https://mastermy.kiev.ua/p703319576-ventilyator-frost-4045.html	Вид запчасти		Вентилятор	Состояние		новый						
23.0011	Вставка в ручку Ardo	r	39	UAH	шт.				https://images.ua.prom.st/986957034_w640_h640_img_20171128_160652.jpg, https://images.ua.prom.st/986957460_w640_h640_img_20171128_160712.jpg, https://images.ua.prom.st/986957160_w640_h640_img_20171128_160701.jpg	+		23196209	Ручка двери(люка)	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				569218541		64403		ARDO					https://mastermy.kiev.ua/p569218541-vstavka-ruchku-ardo.html	Вид запчасти		Ручки, кнопки переключения программ	Состояние		новый						
23.0012	Вставка в ручку Ardo с пружинкой и крючком	r	82	UAH	шт.				https://images.ua.prom.st/986964331_w640_h640_img_20171128_161330.jpg	+		23196209	Ручка двери(люка)	https://prom.ua/Zapchasti-dlya-stiralnyh-mashin				569218598		64403		ARDO					https://mastermy.kiev.ua/p569218598-vstavka-ruchku-ardo.html	Вид запчасти		Ручки, кнопки переключения программ	Состояние		новый						
4.2.001	Втулка-предохранитель шнека Bosch 418076 (без упаковки)	r	85	UAH	шт.				https://images.ua.prom.st/931881293_w640_h640_image.jpg, https://images.ua.prom.st/931881320_w640_h640_image.jpg, https://images.ua.prom.st/931881404_w640_h640_image.jpg	+		25115901	Предохранители механические	https://prom.ua/Zapchasti-dlya-myasorubok				594932699		64421							https://mastermy.kiev.ua/p594932699-vtulka-predohranitel-shneka.html												
